;aa_gamesplayed;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
Nemesis;14;97;123;10;0;230;2.40607888;4.78986337;6.55973007;8.50727848;4.38897886;5.61893644;6.02523595;6.5469327;1.80454791;4.269374481;6.3297777;8.60117544;32;23;9;19;1;12;111;26;6;1;28;29;300;2071;562;0.311041273208;1.43239593436;1.83855530174;1.75343817499;0.386250709797;2.02396911618;1.94654773582;0.658072543501;0.106286334882;0.867016132589;1.43592506166;1.24050168128;409;409;0
Brainstormers06;6;24;58;3;1;86;1.16058588;1.66477247;2.06820429;2.85668495;1.38434886;2.76680968;2.00926149;2.3218559;1.157149553;2.06004575;2.3676348;2.77792421;20;17;3;10;1;9;77;11;3;0;8;0;44;374;274;0.107548859372;0.310575807306;0.603148923181;0.724510966942;0.0667351020972;0.283385735905;0.609271367476;0.517647373404;0.0835775125835;0.465738611117;0.826185551518;1.4016741891;49;49;0
Brainstormers07;5;15;66;2;0;83;1.139841787;1.62451417;1.53208145;3.25086667;2.32578484;2.10197328;1.93156561;3.03364473;0.70642051;1.61316432;2.14296655;2.72122424;19;7;12;6;1;12;170;21;0;0;21;0;79;530;127;0.107901269904;0.275751015833;0.375321465794;1.04477865704;0.0958985327998;0.35016762732;0.416744075577;0.896523872478;0.0826915037244;0.246689658003;0.421265196826;0.686267124698;69;69;0
Fifty-Storms09;4;44;9;6;0;59;0.53220265;1.32684474;1.95451249;2.34158948;1.162569365;1.65608015;1.26262402;1.25518781;0.912049744;1.29420979;1.57155731;1.54544127;6;6;0;6;0;0;11;9;1;1;6;11;24;208;145;0.105365755684;0.384350165996;0.407135080346;0.232205811381;0.287607125747;0.989713930656;0.525441752637;0.0960070211463;0.176638452922;0.360181507128;0.299415658429;0.135937737927;35;35;0
Strive2D;8;40;40;6;0;86;1.864929549;3.26258461;4.36187726;4.29426652;1.089112527;3.76164286;3.202160113;4.03691096;0.997160786;2.05493265;3.91586619;3.52281163;7;4;3;4;0;3;25;7;2;0;8;31;105;707;147;0.243519090764;0.89219071412;1.47123500444;0.900366530896;0.178432024406;1.22283402976;1.04658534441;0.25529515537;0.0703141809866;0.371372553588;0.831069727403;0.516785643853;118;118;0
SEU-2D;8;36;18;5;0;59;2.18839636;2.92189678;3.87504308;4.67077654;0.843962445;2.35678823;2.36817543;3.19276401;0.705587324;2.99555885;3.94553794;4.77738299;7;7;0;2;0;5;30;3;0;0;3;21;44;487;284;0.30860133187;0.940283935669;1.24270377172;0.70294787222;0.179632683065;0.760238076979;0.628772569099;0.178557287584;0.227357860576;0.890420300376;1.38564158049;0.554842730352;57;57;0
Brainstormers09;2;10;22;2;0;34;0.58793289;0.71532091;0.66531301;0.93412911;1.1118421;1.01961342;0.93280968;1.1853655;0.66549021;0.79401848;1.01454079;1.2705811;4;3;1;3;0;1;29;12;3;0;9;0;33;214;37;0.0370839403975;0.0700855741541;0.159217881754;0.213649331944;0.0324245231958;0.175561702876;0.294034077878;0.26279171396;0.0408097228118;0.097670958579;0.256146602762;0.360523969687;36;36;0
ATH;3;16;7;0;0;23;0.58972505;1.1450988;1.27069151;0.6171875;0.87883277;1.69160257;1.25748184;0.95365419;0.57703693;1.36939392;1.38998482;0.78661618;0;0;0;0;0;0;4;1;0;0;3;6;42;270;58;0.206887404283;0.3985908225;0.135399274408;0.0550139275766;0.143765044625;0.617501875069;0.229206511233;0.0666634219615;0.28711893731;0.503422262791;0.319307751005;0.0371227672373;39;39;0
LEAKINDROPS;9;59;31;4;0;94;1.699997847;2.94853263;4.67057353;3.63923828;2.126672704;3.87119917;4.79554239;2.246402115;0.835309639;2.383568521;4.72217211;3.128172837;3;3;0;2;0;1;11;6;4;4;2;28;104;811;252;0.309569567287;0.972569484688;1.33179163755;0.371445771876;0.385106270758;1.41772350192;1.11943027918;0.122373896886;0.2025518228;0.978192179238;1.30237973169;0.486865856115;127;127;0
NemesisRC09;6;33;88;6;0;127;0.654163475;2.09110062;3.44613295;3.87085066;1.35865208;2.36661592;1.85898873;2.37247703;0.76535149;2.09375062;3.63636148;3.90192725;16;14;2;6;1;9;90;46;4;2;37;7;102;676;127;0.0541152003297;0.320279910385;0.962159187419;0.949554976918;0.0716484268588;0.406590068977;0.473096865514;0.300461679599;0.0833937995609;0.405306299015;0.980736715712;0.992656869712;154;154;0
