passmisses;goals;outsides;goalkicks;passmisses_offside;fast_attacks;all_attacks;leftwing_1stquarter_possession;leftwing_2ndquarter_possession;middlewing_1stquarter_possession;middlewing_2ndquarter_possession;middlewing_4thquarter_possession;rightwing_3rdquarter_possession;passchains;k
-2,30675297;0,210638818;-1,152090634;-0,724793708;-0,810854821;0,038371549;-0,553135868;2,644664312;-0,674685106;-0,66425288;-0,472764357;-0,254928772;-0,983962412;-0,295604639;1
-1,258394353;-0,409647272;1,182664813;0,878436614;-0,107674488;0,236952075;0,075743994;2,936970917;-0,135195867;-0,555011524;-0,600034639;-0,180071273;-0,730412636;-0,295604639;1
-0,559488609;-0,719790317;-0,485017649;0,076821453;0,595505844;-0,358789502;-1,182015729;0,208775933;-1,459396726;1,329401881;-0,409129215;-0,554358767;-0,47686286;-0,122409367;3
-1,607847225;0,520781863;-0,151481157;-0,724793708;0,595505844;0,435532601;-0,395915902;0,501082539;-0,707381423;-0,66425288;-0,377311645;1,332050203;0,56269122;1,955933902;4
-0,734215045;-0,409647272;0,515591828;0,878436614;0,595505844;-0,358789502;-0,395915902;2,206204404;-0,576596153;0,70126408;0,259039769;1,032620208;0,850047633;1,263152812;4
-0,384762173;-0,719790317;-0,485017649;-0,724793708;2,70504684;0,236952075;-0,553135868;3,47286636;-1,214174344;-0,445770167;0,004499203;-0,060299275;0,883854269;0,916762267;4
-1,433120789;0,210638818;-0,151481157;0,076821453;-0,107674488;-0,358789502;-0,395915902;-0,863014953;-1,067040916;-0,582321863;-1,172750912;0,343931219;1,103597408;0,39717645;4
-1,782573662;0,210638818;1,516201305;0,878436614;0,595505844;-0,557370027;-0,867575798;-0,52199058;-1,377655932;-0,66425288;-0,63185221;1,032620208;-0,721960977;0,743566995;6
-0,035309301;-0,409647272;1,182664813;-0,724793708;-0,107674488;-0,160208976;-0,867575798;-0,229683975;-0,543899836;-0,746183898;-0,281858933;0,25410222;0,013333373;0,916762267;6
-1,433120789;0,210638818;0,515591828;0,878436614;1,298686176;0,634113126;-0,238695937;0,160058166;-0,903559328;-0,964666612;-1,34774755;0,328959719;-0,341636313;0,050785905;6
-1,433120789;0,210638818;0,182055335;0,076821453;-0,107674488;-0,160208976;-0,081475972;-0,716861651;-1,017996439;-0,309218471;-0,934119132;1,287135704;-0,088086538;1,263152812;6
