passmisses;goals;outsides;goalkicks;passmisses_offside;fast_attacks;all_attacks;leftwing_1stquarter_possession;leftwing_2ndquarter_possession;middlewing_1stquarter_possession;middlewing_2ndquarter_possession;middlewing_4thquarter_possession;rightwing_3rdquarter_possession;passchains;k
0,139417135;0,210638818;0,182055335;0,076821453;-0,107674488;0,236952075;-0,081475972;-0,375837278;-0,723729582;-0,882735594;0,609033046;-0,38967227;0,114753283;0,916762267;1
0,139417135;0,210638818;-0,151481157;0,076821453;-0,107674488;-0,160208976;-0,395915902;-0,034812905;-0,037106914;-0,254597792;-0,265950147;-0,494472768;0,368303059;-0,122409367;1
-0,035309301;0,210638818;0,84912832;1,680051776;-0,810854821;-0,160208976;-0,081475972;-0,034812905;-0,805470376;-0,118046096;0,990843894;-0,000413276;0,3598514;0,916762267;1
-0,908941481;-0,719790317;-1,485627127;-0,724793708;-0,107674488;-0,358789502;-0,710355833;-0,863014953;-0,723729582;-0,964666612;-1,204568482;-0,838817263;0,106301624;-0,295604639;1
0,314143572;-0,099504227;-0,818554142;-0,724793708;-0,810854821;0,038371549;0,86184382;-0,32711951;-0,200588502;-0,937356272;1,404472313;0,388845718;2,016376601;1,436348084;4
1,71195506;-0,409647272;-0,485017649;-0,724793708;-0,107674488;0,038371549;0,232963959;-1,009168256;-0,674685106;-0,937356272;1,945371014;-0,075270775;1,035984135;1,08995754;4
0,83832288;-0,099504227;-1,152090634;0,076821453;0,595505844;0,236952075;1,647943647;0,939542447;1,646753437;0,100436617;1,03857025;-0,090242274;2,185409785;2,129129174;4
0,488870008;-0,409647272;0,515591828;0,076821453;-0,107674488;-0,160208976;0,390183924;0,501082539;0,191767308;-0,036115079;1,229475674;-0,329786271;2,202313103;1,609543357;4
0,488870008;0,210638818;-1,152090634;-0,724793708;1,298686176;0,038371549;-0,081475972;-0,32711951;0,273508102;-0,773494237;1,436289884;-0,224985772;4,019419829;1,609543357;4
0,139417135;0,520781863;-0,818554142;-0,724793708;-0,810854821;0,236952075;1,019063786;-0,180966207;0,044633879;-0,773494237;0,784029685;-0,210014272;1,441663776;1,08995754;4
1,187775752;-0,409647272;0,515591828;0,076821453;2,70504684;1,031274177;0,54740389;-1,009168256;-0,151544026;-0,800804576;-0,822757634;-0,045327775;2,269926377;0,743566995;4
1,187775752;-0,409647272;1,516201305;-0,724793708;1,298686176;-0,160208976;0,390183924;-0,716861651;-0,396766407;-0,855425255;-0,250041362;0,194216221;1,948763327;1,609543357;4
2,935040113;-0,719790317;-1,152090634;-0,724793708;-0,107674488;-0,160208976;-0,081475972;0,988260214;1,499620008;-0,66425288;0,895391182;-0,135156774;1,644503597;1,436348084;4
-0,384762173;-0,099504227;-0,485017649;-0,724793708;2,001866508;-0,557370027;0,390183924;-0,716861651;0,404293372;-0,527701184;-0,711396137;-0,105213774;2,075538215;1,08995754;4
0,139417135;-0,099504227;0,84912832;0,076821453;-0,107674488;0,634113126;0,704623855;-0,034812905;-0,331373772;0,291608992;0,56130669;-0,195042773;-0,341636313;1,08995754;4
-0,559488609;0,520781863;0,182055335;-0,724793708;1,298686176;0,236952075;-0,553135868;-0,668143883;-0,462159042;-0,527701184;-0,918210346;1,047591708;1,762826825;1,263152812;4
