;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
2006
Group A
Brainstormers06;2;10;2;0;14;0.0;0.0;0.2857143;0.89189186;0.05263158;0.4148148;0.25;0.35687733;0.051282053;0.3875969;0.5055762;0.6366639;2;2;0;1;0;1;15;1;0;0;1;0;7;56;54;0.0;0.0;0.0215053763441;0.0443548387097;0.000672043010753;0.0376344086022;0.0577956989247;0.0645161290323;0.00537634408602;0.0672043010753;0.182795698925;0.51814516129;1;1;0
RoboSina;3;0;0;0;3;0.049545827;0.22304832;0.3914729;0.54487183;0.33829;0.50581394;0.47407406;0.84210526;0.054054055;0.33035713;0.82051285;1.0;2;2;0;0;0;2;1;0;0;0;0;1;2;40;27;0.0749063670412;0.149812734082;0.126092384519;0.106117353308;0.113607990012;0.217228464419;0.0799001248439;0.019975031211;0.00499375780275;0.0461922596754;0.039950062422;0.0212234706617;3;3;0

Brainstormers06;3;10;0;0;13;0.0;0.25663715;0.23193916;0.38095238;0.6666667;0.5403226;0.3007663;0.35650887;0.0;0.14503818;0.2494331;0.38677357;5;5;0;3;0;2;19;5;2;0;3;0;6;55;56;0.0;0.0264840182648;0.0557077625571;0.1899543379;0.00913242009132;0.0611872146119;0.143378995434;0.220091324201;0.0;0.0173515981735;0.100456621005;0.176255707763;5;5;0
YowAI2006;4;1;0;0;5;0.09619238;0.30839003;0.33587788;0.0;0.24852072;0.36015327;0.104838705;0.0;0.1923077;0.57794678;0.39823006;0.9285714;0;0;0;0;0;0;0;0;0;0;0;5;5;53;24;0.0511727078891;0.144989339019;0.046908315565;0.0;0.179104477612;0.200426439232;0.0138592750533;0.0;0.111940298507;0.162046908316;0.0479744136461;0.0415778251599;6;6;0

DAINAMITE;5;9;0;0;14;0.012195121;0.3657289;0.4107946;0.58373207;0.7307692;0.4893617;0.31756046;0.35855263;0.20786516;0.4398827;0.3572895;0.8503937;4;2;2;2;0;2;16;3;0;0;3;0;19;121;72;0.000554631170272;0.0793122573489;0.151968940654;0.135330005546;0.0210759844703;0.0637825845813;0.167498613422;0.0604547975596;0.0205213533001;0.0831946755408;0.0965058236273;0.119800332779;24;24;0
YowAI2006;5;3;0;0;8;0.015748031;0.43942505;0.27272728;0.10674157;0.26973686;0.511041;0.25106382;0.0;0.09808613;0.38830585;0.39641945;0.58536583;1;1;0;0;0;1;1;0;0;0;0;3;14;79;34;0.0027397260274;0.146575342466;0.063698630137;0.0130136986301;0.0561643835616;0.332876712329;0.0404109589041;0.0;0.0280821917808;0.177397260274;0.106164383562;0.0328767123288;14;14;0

RoboSina;4;0;0;0;4;0.1622419;0.34916866;0.55333336;0.7241379;0.23127035;0.38864628;0.4089776;0.60869564;0.043383946;0.25538162;0.41996235;0.0;0;0;0;0;0;0;1;0;0;0;0;1;7;78;76;0.0370121130552;0.0989232839838;0.111709286676;0.028263795424;0.0477792732167;0.179676985195;0.110363391655;0.0471063257066;0.0134589502019;0.175639300135;0.150067294751;0.0;11;11;0
