"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"k"
26;1;4;1;1;0;3;41;33;44;106;37;48;6;1
17;1;5;2;1;2;8;0;10;67;183;9;142;10;1
26;0;4;2;0;2;8;25;44;30;162;0;70;5;1
16;3;5;1;2;2;12;24;116;43;100;19;117;9;1
22;0;4;2;1;0;5;11;35;32;155;0;237;11;1
19;1;5;3;0;1;8;25;67;35;155;0;101;11;1
22;0;5;3;0;3;5;5;46;35;152;12;96;7;1
21;0;4;3;0;0;6;19;56;47;150;1;175;11;1
18;1;3;2;0;2;7;40;52;53;143;18;64;8;1
17;0;6;2;0;0;3;31;49;24;166;9;121;7;1
26;0;4;2;0;0;7;25;90;32;142;7;93;7;1
27;0;7;2;1;1;8;8;47;64;130;13;144;11;1
24;0;5;3;0;0;5;50;98;50;118;7;18;5;1
16;0;2;1;0;1;8;5;37;59;136;0;183;11;1
21;0;6;4;1;1;9;11;88;160;211;14;79;11;3
24;0;5;2;0;0;14;52;151;119;165;0;133;12;3
21;0;5;3;1;0;4;43;112;107;145;12;43;9;3
28;0;1;0;0;2;9;45;61;130;160;0;73;5;3
27;0;4;4;2;0;9;8;91;142;198;24;50;10;3
31;0;3;1;1;0;5;29;89;165;118;0;91;10;3
14;0;2;0;0;1;10;27;84;145;135;14;66;9;3
29;0;3;0;0;1;6;16;80;105;166;0;53;9;3
21;0;4;2;0;1;7;49;75;111;108;35;128;10;3
23;0;12;6;1;0;3;20;81;73;238;2;111;13;2
23;0;7;5;0;1;8;52;80;41;139;7;89;8;2
26;0;9;5;0;0;6;28;99;69;192;8;86;8;2
26;0;4;2;0;1;9;81;156;61;183;0;77;9;5
27;1;1;0;0;2;7;76;121;40;174;19;117;9;5
27;0;2;1;0;0;10;31;190;74;193;0;151;12;5
23;0;2;0;0;2;8;45;84;53;126;3;159;6;5
26;0;3;1;0;0;6;72;210;91;134;11;56;11;5
26;0;4;3;0;2;10;101;123;36;153;8;136;8;5
25;0;3;0;1;0;9;82;195;63;179;5;86;12;5
23;0;3;1;0;1;4;48;133;39;152;7;39;5;5
20;0;2;0;0;0;4;36;119;63;98;7;118;10;5
28;1;4;2;0;2;9;101;212;42;177;10;133;6;5
22;0;3;0;2;0;9;1;62;50;218;10;351;13;4
18;0;1;0;3;1;7;46;67;18;100;55;134;12;7
20;0;2;0;0;1;10;50;41;69;259;0;193;15;9
25;0;9;0;0;0;8;34;55;65;249;10;181;18;9
28;0;1;0;2;0;9;30;94;46;225;12;102;14;9
32;0;4;1;1;0;6;8;47;84;240;3;356;12;9
20;0;1;0;0;0;6;30;32;66;306;0;167;17;9
24;1;6;2;0;0;5;10;64;40;253;21;171;12;9
23;0;6;1;0;1;12;38;55;84;258;0;273;17;9
23;0;2;0;0;0;7;35;83;62;290;0;180;14;9
17;0;1;0;0;1;7;54;73;48;178;0;183;16;9
26;0;6;0;2;1;12;28;99;106;261;1;85;16;9
25;0;4;1;1;1;11;17;11;51;286;47;184;14;9
26;1;1;0;0;0;4;63;80;50;175;2;125;6;9
23;0;4;1;0;0;7;30;53;111;218;0;142;6;9
28;0;5;1;1;0;5;55;49;87;164;15;42;11;9
25;0;4;2;0;0;9;81;70;47;103;15;142;12;9
20;0;3;0;0;1;9;42;134;49;179;10;188;12;9
26;0;1;0;0;0;7;48;91;72;194;20;51;9;9
21;0;4;3;0;0;7;33;60;27;172;0;179;12;9
23;0;6;3;0;0;7;28;45;78;271;0;178;17;9
23;0;3;1;0;1;8;51;86;35;282;1;158;13;9
28;0;7;1;0;0;6;46;82;88;304;0;121;18;9
24;0;3;2;0;0;6;37;84;55;322;0;68;10;9
23;0;6;2;0;0;7;58;85;44;228;4;141;11;9
26;0;3;0;1;0;10;35;75;55;232;1;149;15;9
21;0;4;1;0;0;11;55;122;77;260;3;139;14;9
18;0;1;0;0;1;8;24;51;101;194;25;206;16;9
24;0;8;1;0;0;10;12;50;115;278;1;152;16;9
25;0;3;1;0;0;0;28;19;51;122;0;181;6;9
29;0;1;1;0;0;3;34;37;92;240;0;170;10;9
24;0;2;0;0;0;7;27;82;47;221;17;101;11;9
30;0;5;1;0;0;7;57;68;60;230;0;149;12;9
20;0;3;1;0;0;5;78;69;66;220;0;119;10;9
26;0;0;0;0;0;10;39;78;89;242;0;247;12;9
26;0;1;0;0;0;7;33;90;29;154;9;195;10;9
39;0;6;1;0;0;3;18;100;82;199;11;128;4;9
29;0;4;1;0;1;7;12;104;63;234;0;177;19;9
26;0;3;1;0;0;4;39;62;62;253;0;223;14;9
25;0;2;2;0;0;7;43;129;82;223;0;63;10;9
20;0;5;1;1;1;7;23;38;114;267;11;162;14;9
25;1;4;1;0;2;8;40;53;55;275;14;76;15;9
30;0;5;3;0;0;6;22;53;135;269;0;125;17;9
28;0;6;0;0;0;10;48;50;76;282;19;146;17;9
28;0;4;1;0;0;9;20;103;106;296;0;137;17;9
19;0;5;1;0;0;6;0;16;99;208;37;179;17;9
23;0;7;1;0;0;6;7;52;80;253;0;232;18;9
36;1;1;0;0;1;7;56;91;67;218;0;84;15;9
25;0;1;0;1;3;7;34;104;70;153;1;149;10;9
22;0;2;1;1;1;8;29;62;38;165;7;163;12;9
23;0;1;1;0;0;10;4;54;79;249;11;123;10;9
37;0;3;1;0;1;12;62;72;82;270;0;154;15;9
27;0;7;2;0;0;6;106;78;134;173;0;140;9;9
28;0;8;4;0;0;4;42;53;78;152;4;105;8;9
23;0;2;1;1;1;4;44;89;45;156;0;59;7;9
32;0;5;3;0;0;6;9;18;70;249;7;203;12;9
22;0;3;1;0;0;4;39;44;57;174;0;79;7;9
28;0;5;2;0;0;4;46;72;96;198;37;133;14;9
25;0;1;1;0;1;10;34;41;71;255;0;148;11;9
30;0;1;0;0;0;7;42;73;87;209;0;98;8;9
26;0;0;0;0;0;5;31;67;81;250;6;138;13;9
27;0;4;3;0;0;4;60;48;50;246;0;136;9;9
30;0;2;0;0;0;7;19;101;81;245;0;195;11;9
26;0;3;0;0;0;6;28;55;62;265;2;134;12;9
30;0;6;0;2;0;7;34;109;83;303;0;213;16;9
25;0;1;0;2;1;10;2;25;81;260;2;140;18;9
25;0;2;1;1;0;3;34;23;49;268;0;145;16;9
19;0;2;1;1;3;10;70;132;116;218;0;180;18;9
22;0;4;0;0;1;4;14;22;58;234;7;174;9;9
26;0;2;1;0;0;10;51;97;86;292;0;127;18;9
27;1;1;1;0;1;7;9;35;85;276;14;168;15;9
22;0;1;1;0;0;6;33;27;98;214;18;201;9;9
23;0;5;0;0;1;11;11;72;92;302;3;164;17;9
25;0;3;1;0;1;7;54;82;39;260;0;183;6;9
25;0;4;3;0;0;6;30;62;119;206;1;76;8;9
28;0;2;1;0;0;7;34;64;20;167;3;104;7;9
18;2;4;2;0;1;11;45;71;70;256;13;205;13;9
27;0;5;3;0;0;4;62;107;82;238;40;57;10;9
28;0;0;0;0;1;9;35;43;65;205;0;190;14;9
29;0;3;1;0;0;6;24;62;78;178;5;188;13;9
28;0;2;2;1;0;5;26;51;23;149;1;75;9;9
23;0;1;0;0;2;5;11;12;86;199;11;198;11;9
27;0;3;0;0;2;9;29;92;86;211;16;126;20;9
27;0;4;0;0;0;4;43;64;91;281;1;116;15;9
20;0;6;2;0;1;8;41;88;43;193;11;92;12;9
22;0;1;0;0;1;12;32;36;135;294;6;167;19;9
15;0;5;1;0;0;6;26;40;75;229;16;95;17;9
36;0;4;2;0;0;5;35;69;62;300;3;111;15;9
28;0;3;0;0;0;7;29;94;63;237;0;161;16;9
25;0;3;2;1;3;13;47;137;47;240;52;164;18;9
18;0;2;1;0;0;7;47;64;118;233;0;243;17;9
26;0;5;0;2;1;4;44;52;78;249;4;96;11;9
24;0;6;1;0;0;9;43;52;53;309;21;122;17;9
24;0;5;0;0;0;9;39;84;45;266;6;139;19;9
24;0;4;1;0;1;3;43;83;58;231;0;59;12;9
23;0;7;4;0;1;12;8;108;61;289;0;43;14;9
25;0;6;1;1;1;5;35;53;62;156;0;103;13;9
34;0;5;0;1;0;4;21;75;44;324;3;141;22;9
23;1;3;0;0;2;9;54;44;105;266;13;84;14;9
29;0;5;4;0;0;5;89;89;70;146;0;81;13;9
29;0;5;4;0;0;7;62;99;116;216;0;116;9;9
24;0;4;2;0;0;9;63;70;84;230;13;115;14;9
28;0;7;2;0;1;8;54;81;91;213;0;94;10;9
25;0;2;1;0;1;9;17;28;116;183;3;70;11;9
29;1;5;2;0;0;5;42;87;74;198;12;56;10;9
42;0;6;4;0;1;4;42;93;48;211;0;77;4;9
31;0;4;1;3;0;7;15;97;99;275;7;138;20;9
29;0;4;0;0;0;10;62;77;105;239;1;111;17;9
27;0;3;2;0;2;5;9;23;56;265;19;123;11;9
28;0;5;1;1;0;9;10;77;101;293;14;226;17;9
22;0;5;1;0;0;9;28;41;72;298;0;115;17;9
30;0;4;0;0;0;4;32;49;96;256;0;118;12;9
24;0;2;0;0;0;9;11;69;71;258;0;188;16;9
29;0;4;0;1;0;8;34;45;75;255;0;140;11;9
18;0;3;1;0;0;7;61;93;65;201;0;155;15;9
26;0;2;1;0;0;8;21;42;77;316;0;142;14;9
26;0;5;1;0;1;6;0;100;82;205;8;103;7;9
31;0;3;2;0;0;7;56;123;66;148;0;77;12;9
31;0;6;1;0;0;5;72;70;29;237;16;132;11;9
32;0;3;1;0;1;5;16;59;37;183;0;196;4;9
30;0;4;4;0;0;1;34;41;91;143;0;26;5;9
26;0;1;0;0;0;9;34;89;79;207;17;185;10;9
28;0;5;3;0;1;14;49;142;101;185;26;99;10;9
23;0;5;2;0;0;3;87;104;52;187;0;114;10;9
20;7;1;0;0;2;13;30;124;47;229;75;123;18;9
22;1;0;0;0;1;5;31;48;59;145;0;100;7;9
25;0;3;1;1;1;8;24;16;55;175;32;51;9;9
28;0;0;0;0;1;8;5;24;65;247;0;230;14;9
24;0;7;0;2;1;6;14;34;60;221;9;354;13;9
28;0;1;0;0;0;6;78;130;84;220;10;23;12;9
37;0;2;2;1;1;6;26;101;79;244;0;15;10;9
27;0;6;4;1;0;8;9;24;45;184;0;135;12;9
19;0;4;2;0;0;5;26;45;38;175;0;85;11;9
30;0;1;0;1;1;5;30;60;23;255;0;113;7;9
22;0;2;0;0;1;7;63;136;41;229;9;166;10;9
30;0;2;1;1;0;5;25;40;99;163;0;40;7;9
27;0;5;2;0;0;9;47;43;71;124;0;59;8;9
28;0;2;1;0;0;4;46;65;72;207;21;120;9;9
29;0;5;0;0;1;11;26;70;19;222;4;115;13;9
31;0;4;0;3;0;8;42;64;78;187;0;224;13;9
21;0;7;2;1;0;6;68;122;66;190;0;52;16;9
29;0;3;3;0;1;7;34;88;33;169;0;60;7;9
34;0;4;3;0;0;5;71;99;61;234;0;78;11;9
39;0;3;1;0;1;9;18;36;82;195;21;116;9;9
27;0;2;1;0;0;5;45;62;159;271;0;57;7;9
26;0;2;2;0;0;7;42;51;81;167;21;162;17;9
26;0;1;1;0;0;4;60;132;51;210;25;93;8;9
30;0;1;0;1;0;9;18;67;84;286;17;110;12;9
23;0;4;0;0;1;11;55;180;84;205;0;154;13;9
27;0;5;2;0;0;7;40;79;109;218;0;57;12;9
28;0;2;1;0;2;7;68;91;78;171;12;151;14;9
41;0;3;0;0;0;1;49;49;64;269;0;33;3;9
25;0;6;2;0;0;9;62;140;91;198;5;107;13;9
22;0;4;1;0;0;8;47;64;105;234;0;125;16;9
36;0;4;0;1;0;8;26;83;83;203;3;340;14;9
25;1;4;2;0;1;8;57;114;101;161;0;37;8;9
28;0;6;1;0;1;11;18;19;99;125;1;232;13;9
25;0;4;0;0;2;10;36;84;50;177;7;202;9;9
41;0;1;0;0;0;6;30;204;99;275;15;25;12;9
27;0;6;1;0;0;12;61;92;127;191;0;148;18;9
29;0;1;1;0;1;6;57;102;78;216;0;82;6;9
27;0;3;2;0;1;5;50;58;77;260;11;111;8;9
30;0;4;1;0;0;3;47;110;79;221;0;126;12;9
29;0;5;4;0;0;8;13;43;64;200;0;151;13;9
25;1;6;2;0;1;6;22;72;44;260;0;92;5;9
34;0;2;1;1;0;1;17;32;67;140;0;74;8;9
23;0;3;1;0;0;5;45;58;86;169;0;26;4;9
25;0;5;1;0;0;7;33;46;74;244;4;146;8;9
33;0;5;4;0;1;5;44;58;25;288;0;97;11;9
15;1;6;3;1;1;9;52;52;96;194;16;70;9;9
24;1;1;1;0;0;5;18;47;58;231;7;86;10;9
26;0;7;2;0;2;9;33;70;68;162;0;115;8;9
23;0;2;1;0;1;7;62;67;81;255;2;35;15;9
21;0;7;2;0;0;4;13;32;51;283;0;216;11;9
21;0;3;0;0;0;11;30;128;75;240;5;226;15;9
28;0;4;0;0;0;11;60;106;62;313;16;271;18;9
27;0;2;0;0;0;11;11;24;103;337;0;364;20;9
29;0;2;0;1;1;7;27;82;111;199;9;98;14;9
30;0;2;0;0;1;9;51;80;71;322;0;330;17;9
23;0;6;0;2;0;9;67;125;95;241;15;63;14;9
24;0;3;1;0;0;6;7;14;65;199;0;222;15;9
17;0;3;2;2;1;9;33;40;52;200;12;256;13;9
36;0;3;1;0;0;8;62;56;108;216;0;43;12;9
