"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"k"
21;3;5;1;1;5;10;22;103;26;123;32;216;9;1
20;3;8;3;0;5;12;22;56;31;202;65;215;15;1
15;4;8;0;0;5;9;24;87;46;135;48;132;13;1
15;0;1;0;1;4;8;5;61;0;64;9;185;8;1
16;1;7;1;1;3;11;83;197;26;199;14;296;21;5
20;0;10;1;1;3;10;86;189;16;128;52;271;13;5
20;1;6;3;1;5;11;76;178;21;203;66;335;16;5
22;2;3;0;0;6;18;16;93;1;228;91;411;18;4
30;1;4;0;1;6;14;2;64;1;262;60;295;16;4
25;2;2;1;2;7;23;42;206;39;205;59;431;22;4
23;1;7;1;1;5;15;33;117;34;217;43;433;19;4
23;3;2;0;3;6;12;16;122;7;230;50;648;19;4
21;4;3;0;0;7;19;19;108;7;189;51;343;16;4
27;1;7;1;5;11;16;2;96;6;88;62;441;14;4
27;1;10;0;3;5;15;8;81;4;124;78;403;19;4
37;0;2;0;1;5;12;43;197;11;196;56;367;18;4
18;2;4;0;4;3;15;8;130;16;95;58;418;16;4
21;2;8;1;1;9;17;22;85;46;175;52;132;16;4
17;4;6;0;3;7;9;9;77;16;82;135;381;17;4
14;2;4;0;0;8;14;25;162;51;228;109;238;20;4
28;1;3;1;3;2;17;17;176;7;208;93;517;22;4
21;3;6;1;1;7;12;15;61;3;178;39;186;15;4
25;4;6;0;2;7;16;14;130;29;173;78;183;15;4
27;0;4;0;2;7;13;25;145;65;176;116;161;22;4
28;0;5;1;2;8;15;0;77;19;189;19;233;13;4
26;1;6;1;3;7;17;13;150;5;124;40;457;15;4
26;2;8;1;4;1;7;9;61;15;139;22;290;17;4
20;1;5;1;2;6;17;16;143;3;271;32;637;20;4
18;5;3;0;1;7;16;8;79;7;177;132;347;16;4
25;2;3;0;2;7;9;15;105;3;154;111;374;13;4
25;0;4;0;5;2;11;6;86;39;162;22;305;15;4
22;1;5;0;3;6;12;24;79;16;95;98;276;14;4
21;1;8;0;7;6;12;1;80;15;188;62;218;13;4
25;2;2;0;1;4;16;33;100;32;216;49;397;19;4
21;0;3;1;2;9;17;11;47;31;177;72;418;15;4
26;2;6;0;2;5;13;10;177;11;216;32;276;20;4
30;1;8;0;1;5;15;55;196;8;224;46;303;19;4
21;2;1;0;1;8;16;21;75;18;126;57;527;17;4
25;0;1;1;3;6;16;18;97;32;150;58;251;17;4
22;2;2;1;1;6;19;18;192;19;109;183;250;14;4
14;3;5;0;1;8;18;15;108;16;139;85;424;19;4
22;2;6;1;2;3;10;27;131;18;134;58;400;17;4
20;2;7;0;2;4;11;4;131;33;125;33;356;15;4
15;4;4;0;1;9;14;41;97;34;171;97;276;20;4
28;1;6;0;1;5;13;18;132;11;44;104;425;15;4
21;2;10;0;1;4;14;28;78;37;119;57;548;20;4
22;1;6;0;2;5;7;5;78;33;80;94;358;15;4
15;6;5;0;3;7;14;4;112;10;79;164;342;20;4
20;3;8;0;5;7;10;0;48;12;63;158;334;21;4
19;3;5;1;3;8;15;0;38;43;73;126;422;15;4
16;5;5;0;1;4;9;16;118;30;116;45;285;15;4
15;2;7;0;3;10;15;8;107;51;107;60;272;16;4
22;1;4;0;4;8;15;21;103;13;141;119;402;15;4
23;0;5;0;5;7;13;24;155;40;128;154;332;13;4
24;3;6;0;6;6;11;8;128;6;84;50;421;14;4
15;3;3;0;3;8;13;40;112;55;167;87;307;17;4
21;3;3;0;1;3;8;22;30;12;131;112;548;15;4
21;3;4;0;4;6;15;4;82;30;155;66;501;22;4
31;1;6;0;7;4;10;8;111;35;131;98;362;19;4
15;1;7;1;5;7;14;32;117;10;161;73;400;21;4
24;2;6;0;5;8;12;12;41;65;86;68;562;24;4
20;1;4;0;1;9;16;9;93;33;167;74;525;21;4
21;3;2;0;4;4;10;17;90;0;95;120;417;17;4
21;4;4;0;3;7;12;4;130;0;103;66;508;17;4
17;3;2;0;2;4;6;0;33;19;65;58;514;14;4
26;3;3;0;5;6;11;15;243;10;145;46;299;17;4
22;3;2;0;3;5;11;10;157;20;103;98;411;18;4
16;0;2;0;1;11;19;10;226;13;110;92;277;17;4
31;1;5;0;2;8;14;13;124;16;80;20;427;21;4
24;0;4;1;5;5;15;8;128;23;122;97;406;19;4
20;2;8;0;2;5;10;4;87;12;67;57;403;19;4
18;2;4;0;1;6;14;5;81;8;140;126;254;17;4
22;2;7;0;2;6;13;3;81;11;172;88;511;19;4
34;0;7;0;5;5;16;37;217;36;197;76;358;17;4
20;1;8;1;0;7;14;67;148;34;222;24;358;18;4
25;2;4;1;2;9;16;13;126;9;124;60;335;14;4
14;2;4;0;0;5;17;18;116;41;155;64;224;17;4
21;3;5;0;2;5;12;24;99;18;161;34;364;17;4
26;1;5;0;4;7;14;28;123;9;158;57;204;16;4
26;1;1;0;1;7;16;45;114;18;157;71;383;17;4
27;2;3;0;2;6;19;22;96;2;169;60;594;19;4
21;2;6;0;1;8;16;35;101;29;177;48;211;18;4
23;2;6;0;3;6;11;12;83;15;143;36;210;16;4
24;2;7;0;2;4;11;15;152;15;115;50;235;14;4
26;0;3;1;2;6;12;28;121;32;203;24;483;20;4
25;0;6;0;3;10;17;35;133;6;150;92;263;16;4
27;2;3;0;1;8;11;23;162;26;234;176;385;21;4
19;2;7;1;0;7;16;70;162;8;164;81;467;20;4
23;1;3;1;0;8;17;35;180;45;125;65;258;19;4
19;1;1;0;0;5;15;31;218;19;147;43;437;18;4
19;1;6;2;2;4;14;43;76;11;137;46;399;11;4
24;1;1;0;2;6;15;32;171;1;161;96;440;18;4
19;4;7;0;1;8;18;17;125;35;129;81;215;18;4
20;3;6;1;0;5;15;13;74;29;158;78;380;13;4
18;3;7;0;0;4;11;43;182;27;185;83;377;15;4
21;1;5;1;1;8;17;19;137;5;148;47;473;16;4
22;3;7;0;4;5;12;0;116;3;126;88;292;12;4
12;3;4;0;1;5;14;38;166;14;186;71;287;17;4
20;0;5;0;3;6;12;51;83;20;133;20;400;14;4
30;1;4;0;4;5;12;8;137;29;251;18;225;19;4
21;2;8;0;1;9;17;6;108;1;140;122;389;23;4
21;2;5;0;2;7;10;9;151;11;164;78;186;13;4
18;3;4;1;1;3;7;0;52;11;234;78;389;18;4
24;2;3;0;2;6;13;18;91;31;111;59;368;15;4
26;3;5;1;1;9;14;5;64;1;140;78;269;14;4
20;2;3;0;0;5;15;31;123;18;224;36;357;16;4
20;2;11;0;2;9;13;17;112;6;147;41;241;11;4
27;1;5;0;1;7;16;12;135;7;92;92;408;14;4
23;4;6;0;6;4;9;19;58;12;112;48;318;17;4
26;2;6;0;3;4;10;16;103;20;66;51;580;16;4
23;3;7;0;5;6;11;0;42;12;90;71;263;16;4
19;3;6;1;2;8;13;5;68;8;141;163;280;21;4
18;3;7;0;3;5;11;19;104;47;117;122;370;18;4
25;2;5;0;3;2;11;5;60;20;136;108;418;13;4
33;3;4;0;2;7;11;2;85;8;123;116;149;17;4
24;4;5;0;2;7;10;21;66;0;113;64;214;13;4
15;1;4;1;2;5;15;25;101;9;77;94;350;14;4
22;1;6;2;3;7;15;18;111;60;147;78;361;21;4
20;1;6;1;1;6;14;17;116;27;131;90;304;17;4
17;3;6;0;2;8;15;45;102;42;178;128;561;25;4
18;2;3;0;4;10;17;18;147;9;174;79;325;20;4
24;0;3;0;2;4;8;0;94;13;72;38;307;14;4
24;2;5;0;3;8;15;1;117;29;106;60;329;16;4
15;3;3;1;4;12;16;12;39;28;99;183;458;17;4
24;3;4;0;2;8;12;0;54;0;77;40;443;16;4
18;3;6;0;4;10;13;0;66;0;95;97;276;19;4
14;1;4;0;0;6;14;30;78;22;115;45;354;17;4
12;6;5;0;0;6;17;10;102;8;240;128;314;19;4
9;4;9;1;1;6;12;13;96;19;157;124;435;18;4
23;4;1;0;1;8;15;17;160;1;127;69;420;22;4
12;1;4;0;1;5;16;21;147;45;159;21;348;15;4
24;1;5;0;1;4;13;14;117;42;172;54;250;13;4
18;1;8;0;2;10;15;4;108;20;161;47;443;19;4
23;2;6;0;4;11;17;0;92;23;119;75;378;19;4
27;1;8;0;4;7;15;3;102;10;144;66;277;16;4
29;1;6;1;4;7;16;1;154;21;176;103;442;22;4
21;3;5;0;5;4;8;5;55;27;60;44;414;16;4
19;1;6;0;3;4;8;0;6;5;120;88;485;17;4
20;3;8;0;1;6;11;25;99;37;82;67;301;17;4
11;0;4;0;2;7;12;0;70;11;164;108;526;22;4
24;3;5;1;2;8;17;9;71;26;168;100;485;17;4
17;3;9;0;3;2;8;10;128;30;105;37;263;13;4
36;0;10;1;5;4;10;69;164;10;183;13;315;17;4
19;2;8;0;1;7;15;38;91;4;241;97;223;19;4
25;1;7;0;2;7;13;19;101;43;214;57;296;17;4
23;3;7;0;2;5;13;32;175;0;150;91;353;20;4
30;0;3;0;1;4;15;31;100;19;171;7;385;22;4
19;1;7;0;0;8;18;42;133;48;187;110;507;19;4
23;2;5;0;2;7;14;23;160;1;169;62;506;16;4
19;1;11;1;5;4;10;8;118;5;147;41;401;16;4
19;2;6;1;1;9;15;16;154;16;153;142;313;18;4
27;2;4;0;7;7;12;5;130;19;160;136;289;19;4
