"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"GoalDifferenceEvaluator";"k"
15;3;8;3;1;5;6;21;15;0;91;53;114;11;2;1
17;0;4;1;2;4;5;27;16;84;114;28;116;9;0;1
25;1;9;0;5;8;9;11;75;2;128;40;146;19;1;4
24;1;5;0;5;7;9;7;21;32;101;106;224;16;1;4
21;1;4;1;5;4;13;6;78;21;151;109;190;19;1;4
18;2;6;1;4;7;8;158;74;12;150;82;21;17;2;7
18;3;6;0;6;7;10;52;116;12;115;108;48;16;3;7
17;1;7;2;2;9;16;43;121;27;113;84;55;15;1;7
8;5;4;0;2;8;12;89;61;7;32;342;46;13;5;7
13;4;3;0;3;8;9;48;31;0;117;95;66;15;3;7
21;2;4;2;3;5;8;49;85;18;104;126;21;15;2;7
13;4;2;0;3;5;8;46;14;20;154;141;123;14;4;7
13;3;2;0;6;3;7;32;17;22;115;145;63;14;3;7
19;1;5;1;7;4;12;50;91;13;89;85;65;14;1;7
20;2;6;0;6;6;10;64;59;22;148;115;143;15;2;7
12;4;9;1;2;9;12;95;139;15;114;171;35;16;4;7
20;1;3;0;5;11;16;54;37;36;139;97;90;15;1;7
10;2;5;0;4;5;7;44;50;9;68;92;71;12;2;7
13;4;7;0;2;9;11;65;23;24;60;103;143;12;3;7
13;4;8;1;1;8;10;97;64;9;68;86;107;18;4;7
17;0;6;1;4;2;8;103;92;27;152;78;24;14;0;7
18;0;4;0;4;8;15;81;88;11;124;143;72;13;0;7
10;5;4;1;0;10;13;67;18;12;115;180;58;11;4;7
17;1;5;1;4;5;11;59;73;33;91;132;140;12;1;7
22;3;5;0;6;4;6;35;99;0;66;157;143;13;3;7
10;5;4;0;1;10;13;87;92;40;122;138;97;14;5;7
14;0;4;0;4;4;10;35;71;9;79;109;148;13;0;7
17;2;4;0;5;9;13;20;6;30;153;97;73;14;2;7
10;2;4;0;2;7;10;67;56;34;102;130;101;14;2;7
16;4;6;0;2;9;12;43;39;41;160;155;79;16;4;7
22;3;4;1;4;8;11;32;16;13;74;170;127;13;3;7
16;2;4;0;3;5;9;33;8;17;130;112;44;11;2;7
25;2;10;2;4;6;9;41;76;15;117;81;102;18;1;7
20;2;4;0;4;5;8;61;57;44;162;159;61;17;2;7
26;2;4;0;6;7;10;31;72;20;116;96;67;14;2;7
16;2;3;1;1;9;14;53;74;35;106;37;40;13;2;7
14;2;3;1;1;7;11;62;123;26;153;77;38;13;2;7
15;2;9;1;4;9;11;38;65;20;45;81;48;13;2;7
10;3;2;1;2;7;11;64;53;11;75;137;101;14;3;7
10;2;5;2;4;7;10;67;35;17;58;55;161;9;2;7
15;4;9;1;3;10;13;65;53;48;164;107;106;15;4;7
11;3;6;1;1;10;13;68;40;23;82;66;120;13;3;7
17;2;9;2;4;10;16;38;24;20;97;129;218;14;2;7
8;4;2;0;2;11;12;56;47;6;49;103;76;10;4;7
17;4;6;0;6;4;8;87;41;21;70;146;58;12;4;7
13;6;4;0;3;8;14;35;59;15;148;143;21;11;4;7
12;2;5;2;1;7;11;57;88;28;79;93;74;13;2;7
16;1;7;2;2;4;10;68;70;61;156;134;273;17;1;7
7;3;3;1;2;6;7;64;94;23;74;96;95;13;3;7
14;0;5;0;3;6;9;43;71;9;114;98;86;13;0;7
17;1;3;0;3;6;11;57;63;14;194;80;213;10;1;7
12;1;3;0;3;12;16;48;28;16;131;151;130;13;1;7
14;2;4;0;3;7;9;52;44;27;134;89;132;14;2;7
19;1;8;0;6;9;12;40;12;24;141;62;122;17;1;7
17;4;7;2;4;7;11;35;116;5;76;190;175;15;4;7
19;3;5;1;2;8;9;46;69;43;124;55;134;13;3;7
16;3;4;0;1;8;11;39;53;43;127;98;41;18;3;7
14;4;3;0;2;8;10;51;69;23;107;126;15;10;4;7
12;4;6;1;2;7;12;44;19;24;172;182;103;14;3;7
17;2;7;0;3;8;14;54;79;16;139;145;82;21;1;7
15;0;4;2;3;5;10;67;66;8;130;131;165;14;0;7
21;3;3;0;4;12;13;36;63;31;91;159;113;18;3;7
10;2;2;0;1;4;6;144;92;20;111;31;93;9;2;7
17;4;7;1;3;11;14;40;74;0;80;115;207;18;4;7
